Topic,Category,Level,Resource,Author / Provider,Course Code,Prerequisite,Priority in Website ,CSU Class,Best for (goal),URL Link
Geospatial,Applied / Domain-Specific Resources,Beginner - Advanced,Geo University Online Platform (Pay Wall) ,Geo University,N/A,N/A,1,N,Accessing any and all GIS materials ,https://www.geo.university/
Geospatial,Video Courses / Structured Learning Paths,Beginner,Geospatial Data Science with R ,Watch&Learn with Dr. XP,N/A,N/A,1,N,Learning to use R Studio for GIS applications ,https://www.youtube.com/watch?v=sDYUUzyaUM8&list=PLn_S1vjm5cr29NH4BwcgG-K31_VG6dgtm
Geospatial,Applied / Domain-Specific Resources,Beginner,GIS Basics (Log in required) ,ESRI,N/A,N/A,1,N,Learning basic GIS skills via ArcGIS ,https://www.esri.com/training/catalog/5d9cd7de5edc347a71611ccc/gis-basics/
Geospatial,Online Courses / Structured Learning Paths,Intermediate,GIS For Natural Resource Management,University of Minnesota,N/A,N/A,2,N,Accessing supplementary course materials on GIS ,https://giscourses.cfans.umn.edu/fnrm3131
Geospatial,Applied / Domain-Specific Resources,Intermediate,Haonen Chen: Github,Haonen Chen,N/A,N/A,2,N,Learning to use Python for remote sensing and grounding applications using Mast3r software,https://github.com/haonan16
Geospatial,Applied / Domain-Specific Resources,Intermediate,Jessica Oconnell: Github ,Jessica Oconnell,N/A,N/A,1,N,Using R for remote sensing applications,https://github.com/jloconnell/
Geospatial,Applied / Domain-Specific Resources,Intermediate,Kai Jeffreys : Github ,Kai Jeffreys,N/A,N/A,1,N,Learning to use Python to build raster layers ,https://github.com/kaijeffreys/ForestedWetlands
Geospatial,Applied / Domain-Specific Resources,Intermediate,Kai Jeffreys : Github ,Kai Jeffreys,N/A,N/A,2,N,Building raster layers using R,https://github.com/kaijeffreys/WIP
Geospatial,Video Courses / Structured Learning Paths,Intermediate,Programming for GIS 1 - ArcPy,Elizabeth Tulanowski,N/A,N/A,1,N,Learning to use ArcPy and Python for GIS,https://www.youtube.com/playlist?list=PLDX1ZtgI1MQjvYdHP7iT6cPNplSTE6Hgy
Geospatial,Video Courses / Structured Learning Paths,Intermediate,Python Foundation for Spatial Analysis,Multiple instructors (YouTube),N/A,N/A,2,N,Using python for spatial analysis ,https://www.youtube.com/playlist?list=PLppGmFLhQ1HJspXSA0asH9kw1OhlLrxHT
Geospatial,Online Courses / Structured Learning Paths,Advanced,Python Scripting for Geoprocessing Workflows (Log in Required) ,ESRI,N/A,N/A,1,N,Learning to use Arcpy and python scripting for GIS processes,https://www.esri.com/training/catalog/5763042c851d31e02a43ed84/python-scripting-for-geoprocessing-workflows/
Geospatial,Applied / Domain-Specific Resources,Beginner - Advanced,R as GIS for Economists,T. Mieno,N/A,N/A,1,N,Applying R To GIS concepts and application,https://tmieno2.github.io/R-as-GIS-for-Economists-Quarto/chapters/00-preface.html
Geospatial,Applied / Domain-Specific Resources,Intermediate,"Spatial Data Science with R and ""terra""",Spatial Data Science,N/A,N/A,2,N,Learning to use GIS related R packages and R for various different branches of GIS,https://rspatial.org/index.html
Geospatial,Applied / Domain-Specific Resources,Advanced,Steve Leisz: ResearchGate,Steve Leisz,N/A,N/A,2,N,Learning geospatial applciations for land use vegetation change,https://www.bing.com/ck/a?!&&p=40a0976d9f2d06096e7db98bd82d04a64ab4fe7a9d6401e244269f9f21950b75JmltdHM9MTc3OTMyMTYwMA&ptn=3&ver=2&hsh=4&fclid=2a68803d-d7c7-641b-3466-96e4d6066551&psq=Steve+Leisz&u=a1aHR0cHM6Ly93d3cucmVzZWFyY2hnYXRlLm5ldC9wcm9maWxlL1N0ZXBoZW4tTGVpc3o
Geospatial,Applied / Domain-Specific Resources,Advanced,Trent Pearce: Github,Trent Pearce,N/A,N/A,1,N,using R Code to map chemical exposure,https://github.com/trentpearce/felid_rodenticide
